2020-04-18 12:56:33.686 [main] INFO  c.s.s.SpringbootKuangshenApplication - Starting SpringbootKuangshenApplication on sch with PID 30551 (/home/sch/project/untitled/springboot-kuangshen/target/classes started by sch in /home/sch/project/untitled/springboot-kuangshen)
2020-04-18 12:56:33.689 [main] INFO  c.s.s.SpringbootKuangshenApplication - No active profile set, falling back to default profiles: default
2020-04-18 12:56:35.828 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-18 12:56:35.833 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-18 12:56:35.888 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 Redis repository interfaces.
2020-04-18 12:56:37.215 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
2020-04-18 12:56:37.223 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8089"]
2020-04-18 12:56:37.224 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-18 12:56:37.224 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-18 12:56:37.293 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/springBootWeb] - Initializing Spring embedded WebApplicationContext
2020-04-18 12:56:37.293 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3517 ms
2020-04-18 12:56:38.984 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@54657dd2, org.springframework.security.web.context.SecurityContextPersistenceFilter@73437222, org.springframework.security.web.header.HeaderWriterFilter@1c5c616f, org.springframework.security.web.csrf.CsrfFilter@b0e5507, org.springframework.security.web.authentication.logout.LogoutFilter@7c2b58c0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3672276e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@71466383, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@706eab5d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6a48a7f3, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1e530163, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@72725ee1, org.springframework.security.web.session.SessionManagementFilter@2eb917d0, org.springframework.security.web.access.ExceptionTranslationFilter@1744a475, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2650f79]
2020-04-18 12:56:39.183 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-18 12:56:39.246 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-04-18 12:56:40.573 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8089"]
2020-04-18 12:56:40.632 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path '/springBootWeb'
2020-04-18 12:56:40.635 [main] INFO  c.s.s.SpringbootKuangshenApplication - Started SpringbootKuangshenApplication in 8.127 seconds (JVM running for 9.311)
2020-04-18 12:56:42.695 [http-nio-8089-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/springBootWeb] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-18 12:56:42.696 [http-nio-8089-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-18 12:56:42.711 [http-nio-8089-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 15 ms
2020-04-18 13:00:09.781 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-18 13:00:09.782 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-04-18 13:00:12.902 [main] INFO  c.s.s.SpringbootKuangshenApplication - Starting SpringbootKuangshenApplication on sch with PID 32126 (/home/sch/project/untitled/springboot-kuangshen/target/classes started by sch in /home/sch/project/untitled/springboot-kuangshen)
2020-04-18 13:00:12.904 [main] INFO  c.s.s.SpringbootKuangshenApplication - No active profile set, falling back to default profiles: default
2020-04-18 13:00:13.415 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-18 13:00:13.416 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-18 13:00:13.434 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6ms. Found 0 Redis repository interfaces.
2020-04-18 13:00:13.872 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
2020-04-18 13:00:13.879 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8089"]
2020-04-18 13:00:13.880 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-18 13:00:13.880 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-18 13:00:13.935 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/springBootWeb] - Initializing Spring embedded WebApplicationContext
2020-04-18 13:00:13.935 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 998 ms
